Dates,Pollster,Sample,Influence,Approve,Disapprove,Net,Sample Size,Sample Type,End Date,Grade,Predictive Plus-Minus,Mean-reverted bias,Number of polls,cat,Bias,Adj_Approve,Adj_Disapprove,Adj_Net,Sample Priority,Grade Priority,Simple Grade,Recency,Recency Weight,Sample N Weight Raw,Sample N Weight,Combined Weight,Color
"8/14 - 8/18, 2025@@23971",Echelon Insights,"1,057 LV@@1057",0.443559,47.0,51.0,-4.0,1057.0,LV,2025-08-18,B+@@5,-0.21667188,R+0.11@@-0.10818018,18.0,R+,-0.11,47.055,50.945,-3.8900000000000006,3.0,1.0,B+,11,0.08333333333333333,32.51153641401772,0.5444190399439421,0.9890279225648282,red
"8/15 - 8/17, 2025@@23970",InsiderAdvantage,"1,000 LV@@1000",0.4033204,54.0,43.6,10.4,1000.0,LV,2025-08-17,B@@6,0.034562007,D+0.36@@0.35748985,207.0,D+,0.36,53.82,43.78,10.04,3.0,1.0,B,12,0.07692307692307693,31.622776601683793,0.5390493969768073,0.9785819822040502,green
"8/13 - 8/18, 2025@@23971",Ipsos,"4,446 A@@4446",0.3729786,40.0,54.0,-14.0,4446.0,A,2025-08-18,B-@@7,0.44289753,D+1.89@@1.8925899,116.0,D+,1.89,39.055,54.945,-15.89,1.0,1.0,B-,11,0.08333333333333333,66.6783323126786,0.7508454475748061,0.6131904488527584,red
"8/8 - 8/17, 2025@@23970",The Argument/Verasight,"1,562 RV@@1562",0.3344497,43.0,55.0,-12.0,1562.0,RV,2025-08-17,,,,,,0.0,43.0,55.0,-12.0,2.0,1.0,,12,0.07692307692307693,39.52214569073901,0.5867752179300056,0.7718350943540844,red
"8/13 - 8/21, 2025@@23974",RMG Research,"3,000 RV@@3000",0.2867103,49.0,48.0,1.0,3000.0,RV,2025-08-21,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,47.375,49.625,-2.25,2.0,1.0,B,8,0.1111111111111111,54.772255750516614,0.6789121992539866,0.8976727967913822,green
"8/22 - 8/28, 2025@@23981",Rasmussen Reports,"1,500 LV@@1500",0.2744825,48.0,51.0,-3.0,1500.0,LV,2025-08-28,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,50.325,-1.6500000000000057,3.0,1.0,B,1,0.5,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/1 - 8/20, 2025@@23973",Gallup,"1,094 A@@1094",0.2606459,40.0,56.0,-16.0,1094.0,A,2025-08-20,B+@@5,-0.096810378,R+0.57@@-0.56518364,84.0,R+,-0.57,40.285,55.715,-15.430000000000007,1.0,1.0,B+,9,0.1,33.075670817082454,0.5478273852447726,0.4492184559007136,red
"8/15 - 8/18, 2025@@23971",YouGov,"1,568 A@@1568",0.2602574,40.0,56.0,-16.0,1568.0,A,2025-08-18,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,39.455,56.545,-17.090000000000003,1.0,1.0,B,11,0.08333333333333333,39.59797974644666,0.5872333864905648,0.47957393230062795,red
"8/11 - 8/12, 2025@@23965",Merlin Strategy,"2,000 A@@2000",0.2530392,42.0,50.0,-8.0,2000.0,A,2025-08-12,,,,,,0.0,42.0,50.0,-8.0,1.0,1.0,,17,0.05555555555555555,44.721359549995796,0.6181874417350783,0.5014187027406747,red
"8/4 - 8/10, 2025@@23963",Pew Research Center,"3,554 A@@3554",0.1633301,38.0,60.0,-22.0,3554.0,A,2025-08-10,B/C@@8,0.13222975,D+0.63@@0.63138616,25.0,D+,0.63,37.685,60.315,-22.629999999999995,1.0,1.0,B/C,19,0.05,59.61543424315552,0.7081733550473426,0.5736204175883475,red
"8/15 - 8/18, 2025@@23971",Morning Consult,"2,201 RV@@2201",0.1457551,47.0,51.0,-4.0,2201.0,RV,2025-08-18,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,45.315,52.685,-7.3700000000000045,2.0,1.0,B-,11,0.08333333333333333,46.9148164229596,0.6314397064169093,0.8313956134489305,red
"8/6 - 8/14, 2025@@23967",RMG Research,"3,000 RV@@3000",0.1319318,48.0,51.0,-3.0,3000.0,RV,2025-08-14,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,46.375,52.625,-6.25,2.0,1.0,B,15,0.0625,54.772255750516614,0.6789121992539866,0.8910722615208574,red
"8/7 - 8/11, 2025@@23964",Global Strategy Group/GBAO Navigator Research,"1,000 RV@@1000",0.128652,43.0,55.0,-12.0,1000.0,RV,2025-08-11,B/C@@8,0.80498767,D+0.82@@0.82390642,4.0,D+,0.82,42.59,55.41,-12.819999999999993,2.0,1.0,B/C,18,0.05263157894736842,31.622776601683793,0.5390493969768073,0.7064384202485527,red
"8/15 - 8/21, 2025@@23974",Rasmussen Reports,"1,500 LV@@1500",0.1198734,49.0,49.0,0.0,1500.0,LV,2025-08-21,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,48.325,1.3499999999999943,3.0,1.0,B,8,0.1111111111111111,38.72983346207417,0.5819882848043362,1.0525520901316683,green
"8/9 - 8/11, 2025@@23964",YouGov,"1,635 A@@1635",0.1047685,42.0,54.0,-12.0,1635.0,A,2025-08-11,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,41.455,54.545,-13.090000000000003,1.0,1.0,B,18,0.05263157894736842,40.43513323831146,0.5922912382269068,0.4800676351944403,red
"8/21 - 8/27, 2025@@23980",Rasmussen Reports,"1,500 LV@@1500",0.0835992,48.0,50.0,-2.0,1500.0,LV,2025-08-27,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,49.325,-0.6500000000000057,3.0,1.0,B,2,0.3333333333333333,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/3 - 8/9, 2025@@23962",Morning Consult,"33,231 A@@33231",0.0775295,44.9,48.7,-3.799999,33231.0,A,2025-08-09,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,43.214999999999996,50.385000000000005,-7.170000000000009,1.0,1.0,B-,20,0.047619047619047616,182.29371903606554,1.4493618966720194,1.0525520901316683,red
"8/20 - 8/26, 2025@@23979",Rasmussen Reports,"1,500 LV@@1500",0.0760322,49.0,50.0,-1.0,1500.0,LV,2025-08-26,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,49.325,0.3499999999999943,3.0,1.0,B,3,0.25,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/18 - 8/22, 2025@@23975",Rasmussen Reports,"1,500 LV@@1500",0.0759524,50.0,49.0,1.0,1500.0,LV,2025-08-22,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,48.325,2.3499999999999943,3.0,1.0,B,7,0.125,38.72983346207417,0.5819882848043362,1.0525520901316683,green
"8/19 - 8/25, 2025@@23978",Rasmussen Reports,"1,500 LV@@1500",0.0688042,50.0,49.0,1.0,1500.0,LV,2025-08-25,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,48.325,2.3499999999999943,3.0,1.0,B,4,0.2,38.72983346207417,0.5819882848043362,1.0525520901316683,green
"7/29 - 8/3, 2025@@23956",Hart Research Associates/Public Opinion Strategies,"1,000 A@@1000",0.0546446,46.0,51.0,-5.0,1000.0,A,2025-08-03,B+@@5,-0.2509338,D+0.85@@0.85034752,37.0,D+,0.85,45.575,51.425,-5.849999999999994,1.0,1.0,B+,26,0.037037037037037035,31.622776601683793,0.5390493969768073,0.4352324760775704,red
"8/8 - 8/14, 2025@@23967",Rasmussen Reports,"1,500 LV@@1500",0.0518325,49.0,49.0,0.0,1500.0,LV,2025-08-14,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,48.325,1.3499999999999943,3.0,1.0,B,15,0.0625,38.72983346207417,0.5819882848043362,1.0525520901316683,green
"7/30 - 8/1, 2025@@23954",TIPP Insights,"1,362 A@@1362",0.0485896,45.0,46.0,-1.0,1362.0,A,2025-08-01,A-@@3,-0.57137179,R+0.07@@-0.070992939,51.0,R+,-0.07,45.035,45.965,-0.9300000000000068,1.0,1.0,A-,28,0.034482758620689655,36.90528417449187,0.5709648585486764,0.4607095755185872,red
"8/8 - 8/10, 2025@@23963",Morning Consult,"2,200 RV@@2200",0.0479502,46.0,51.0,-5.0,2200.0,RV,2025-08-10,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,44.315,52.685,-8.370000000000005,2.0,1.0,B-,19,0.05,46.9041575982343,0.6313753087220204,0.8271016544258468,red
"8/14 - 8/20, 2025@@23973",Rasmussen Reports,"1,500 LV@@1500",0.0329473,49.0,49.0,0.0,1500.0,LV,2025-08-20,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,48.325,1.3499999999999943,3.0,1.0,B,9,0.1,38.72983346207417,0.5819882848043362,1.0525520901316683,green
"8/11 - 8/15, 2025@@23968",Rasmussen Reports,"1,500 LV@@1500",0.0312382,47.0,51.0,-4.0,1500.0,LV,2025-08-15,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,47.675,50.325,-2.6500000000000057,3.0,1.0,B,14,0.06666666666666667,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/13 - 8/19, 2025@@23972",Rasmussen Reports,"1,500 LV@@1500",0.0301917,49.0,49.0,0.0,1500.0,LV,2025-08-19,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,48.325,1.3499999999999943,3.0,1.0,B,10,0.09090909090909091,38.72983346207417,0.5819882848043362,1.0525520901316683,green
"8/1 - 8/4, 2025@@23957",YouGov,"1,702 A@@1702",0.028042,41.0,55.0,-14.0,1702.0,A,2025-08-04,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,40.455,55.545,-15.090000000000003,1.0,1.0,B,25,0.038461538461538464,41.255302689472536,0.5972464770486541,0.4823913853085283,red
"8/12 - 8/18, 2025@@23971",Rasmussen Reports,"1,500 LV@@1500",0.0275109,48.0,50.0,-2.0,1500.0,LV,2025-08-18,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,49.325,-0.6500000000000057,3.0,1.0,B,11,0.08333333333333333,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/1 - 8/7, 2025@@23960",Rasmussen Reports,"1,500 LV@@1500",0.0156957,47.0,51.0,-4.0,1500.0,LV,2025-08-07,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,47.675,50.325,-2.6500000000000057,3.0,1.0,B,22,0.043478260869565216,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/7 - 8/13, 2025@@23966",Rasmussen Reports,"1,500 LV@@1500",0.0148527,48.0,49.0,-1.0,1500.0,LV,2025-08-13,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,48.325,0.3499999999999943,3.0,1.0,B,16,0.058823529411764705,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/1 - 8/3, 2025@@23956",Morning Consult,"2,201 RV@@2201",0.0141338,45.0,52.0,-7.0,2201.0,RV,2025-08-03,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,43.315,53.685,-10.370000000000005,2.0,1.0,B-,26,0.037037037037037035,46.9148164229596,0.6314397064169093,0.8255489495006257,red
"8/6 - 8/12, 2025@@23965",Rasmussen Reports,"1,500 LV@@1500",0.0124528,49.0,49.0,0.0,1500.0,LV,2025-08-12,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,48.325,1.3499999999999943,3.0,1.0,B,17,0.05555555555555555,38.72983346207417,0.5819882848043362,1.0525520901316683,green
"7/28 - 7/29, 2025@@23951",John Zogby Strategies,"1,010 LV@@1010",0.010607,43.4,54.2,-10.8,1010.0,LV,2025-07-29,B/C@@8,0.53317785,D+0.39@@0.38675937,4.0,D+,0.39,43.205,54.395,-11.190000000000005,3.0,1.0,B/C,31,0.03125,31.78049716414141,0.540002301346717,0.9753791568075076,red
"8/5 - 8/11, 2025@@23964",Rasmussen Reports,"1,500 LV@@1500",0.0100433,48.0,49.0,-1.0,1500.0,LV,2025-08-11,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,48.325,0.3499999999999943,3.0,1.0,B,18,0.05263157894736842,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"8/4 - 8/8, 2025@@23961",Rasmussen Reports,"1,500 LV@@1500",0.0095731,48.0,50.0,-2.0,1500.0,LV,2025-08-08,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,49.325,-0.6500000000000057,3.0,1.0,B,21,0.045454545454545456,38.72983346207417,0.5819882848043362,1.0525520901316683,red
"7/29 - 8/4, 2025@@23957",Rasmussen Reports,"1,500 LV@@1500",0.0088361,48.0,51.0,-3.0,1500.0,LV,2025-08-04,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,50.325,-1.6500000000000057,3.0,1.0,B,25,0.038461538461538464,38.72983346207417,0.5819882848043362,1.0520557456078385,red
"7/28 - 8/1, 2025@@23954",Rasmussen Reports,"1,500 LV@@1500",0.0020483,48.0,50.0,-2.0,1500.0,LV,2025-08-01,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,49.325,-0.6500000000000057,3.0,1.0,B,28,0.034482758620689655,38.72983346207417,0.5819882848043362,1.0515926249568006,red
"7/24 - 7/31, 2025@@23953",Clarity Campaign Labs,"1,018 RV@@1018",0.0,46.0,51.0,-5.0,1018.0,RV,2025-07-31,B/C@@8,0.22870669,D+1.34@@1.3394767,15.0,D+,1.34,45.33,51.67,-6.340000000000003,2.0,1.0,B/C,29,0.03333333333333333,31.906112267087632,0.5407612333379485,0.7065946782282526,red
"7/25 - 7/31, 2025@@23953",Rasmussen Reports,"1,500 LV@@1500",0.0,49.0,50.0,-1.0,1500.0,LV,2025-07-31,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,49.325,0.3499999999999943,3.0,1.0,B,29,0.03333333333333333,38.72983346207417,0.5819882848043362,1.0514588345465006,red
"7/23 - 7/31, 2025@@23953",RMG Research,"3,000 RV@@3000",0.0,50.0,48.0,2.0,3000.0,RV,2025-07-31,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,48.375,49.625,-1.25,2.0,1.0,B,29,0.03333333333333333,54.772255750516614,0.6789121992539866,0.8871119403585425,green
"7/25 - 7/30, 2025@@23952",University of Massachusetts Amherst,"1,000 A@@1000",0.0,38.0,58.0,-20.0,1000.0,A,2025-07-30,B/C@@8,0.53619975,R+0.12@@-0.11678057,11.0,R+,-0.12,38.06,57.94,-19.879999999999995,1.0,1.0,B/C,30,0.03225806451612903,31.622776601683793,0.5390493969768073,0.4347172556264575,red
"7/24 - 7/30, 2025@@23952",Rasmussen Reports,"1,500 LV@@1500",0.0,49.0,50.0,-1.0,1500.0,LV,2025-07-30,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,49.325,0.3499999999999943,3.0,1.0,B,30,0.03225806451612903,38.72983346207417,0.5819882848043362,1.051333675775575,red
"7/23 - 7/29, 2025@@23951",Rasmussen Reports,"1,500 LV@@1500",0.0,48.0,51.0,-3.0,1500.0,LV,2025-07-29,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,50.325,-1.6500000000000057,3.0,1.0,B,31,0.03125,38.72983346207417,0.5819882848043362,1.0512163394278322,red
"7/25 - 7/28, 2025@@23950",YouGov,"1,777 A@@1777",0.0,40.0,55.0,-15.0,1777.0,A,2025-07-28,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,39.455,55.545,-16.090000000000003,1.0,1.0,B,32,0.030303030303030304,42.15447781671598,0.6026790464911742,0.4857958374747041,red
"7/22 - 7/28, 2025@@23950",Rasmussen Reports,"1,500 LV@@1500",0.0,48.0,51.0,-3.0,1500.0,LV,2025-07-28,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,50.325,-1.6500000000000057,3.0,1.0,B,32,0.030303030303030304,38.72983346207417,0.5819882848043362,1.051106114373892,red
"7/24 - 7/28, 2025@@23950",YouGov,"1,729 A@@1729",0.0,39.0,56.0,-17.0,1729.0,A,2025-07-28,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,38.455,56.545,-18.090000000000003,1.0,1.0,B,32,0.030303030303030304,41.58124577258358,0.5992157357388251,0.4830041991106894,red
"7/25 - 7/27, 2025@@23949",Leger,"1,007 A@@1007",0.0,37.0,51.0,-14.0,1007.0,A,2025-07-27,B/C@@8,0.3232837,D+0.25@@0.25427637,13.0,D+,0.25,36.875,51.125,-14.25,1.0,1.0,B/C,33,0.029411764705882353,31.73326330524486,0.5397169273292213,0.4349483473182548,red
"7/25 - 7/27, 2025@@23949",Ipsos,"1,023 A@@1023",0.0,40.0,56.0,-16.0,1023.0,A,2025-07-27,B-@@7,0.44289753,D+1.89@@1.8925899,116.0,D+,1.89,39.055,56.945,-17.89,1.0,1.0,B-,33,0.029411764705882353,31.984371183438952,0.5412340522412896,0.4361709715120981,red
"7/25 - 7/27, 2025@@23949",Morning Consult,"2,203 RV@@2203",0.0,47.0,50.0,-3.0,2203.0,RV,2025-07-27,B-@@7,0.58499432,D+3.37@@3.3696144,114.0,D+,3.37,45.315,51.685,-6.3700000000000045,2.0,1.0,B-,33,0.029411764705882353,46.93612681080534,0.6315684579340625,0.824754103890364,red
"7/21 - 7/25, 2025@@23947",Rasmussen Reports,"1,500 LV@@1500",0.0,47.0,51.0,-4.0,1500.0,LV,2025-07-25,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,47.675,50.325,-2.6500000000000057,3.0,1.0,B,35,0.027777777777777776,38.72983346207417,0.5819882848043362,1.0508121808967181,red
"7/18 - 7/24, 2025@@23946",Rasmussen Reports,"1,500 LV@@1500",0.0,48.0,51.0,-3.0,1500.0,LV,2025-07-24,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,48.675,50.325,-1.6500000000000057,3.0,1.0,B,36,0.02702702702702703,38.72983346207417,0.5819882848043362,1.0507247952683691,red
"7/21 - 7/24, 2025@@23946",McLaughlin  Associates,"2,000 RV@@2000",0.0,46.5,53.5,-7.0,2000.0,RV,2025-07-24,C/D@@12,1.4121989,R+1.70@@-1.6967322,29.0,R+,-1.7,47.35,52.65,-5.299999999999997,2.0,1.0,C/D,36,0.02702702702702703,44.721359549995796,0.6181874417350783,0.8069852279947104,red
"7/16 - 7/24, 2025@@23946",RMG Research,"3,000 RV@@3000",0.0,50.0,48.0,2.0,3000.0,RV,2025-07-24,B@@6,0.27802283,D+3.25@@3.2477651,28.0,D+,3.25,48.375,49.625,-1.25,2.0,1.0,B,36,0.02702702702702703,54.772255750516614,0.6789121992539866,0.8862556547018258,green
"7/22 - 7/23, 2025@@23945",Trafalgar Group/Insider Advantage,"1,200 LV@@1200",0.0,50.0,48.0,2.0,1200.0,LV,2025-07-23,,,,,,0.0,50.0,48.0,2.0,3.0,1.0,,37,0.02631578947368421,34.64101615137755,0.5572847723236978,1.0060456679317282,green
"7/17 - 7/23, 2025@@23945",Rasmussen Reports,"1,500 LV@@1500",0.0,49.0,50.0,-1.0,1500.0,LV,2025-07-23,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,49.675,49.325,0.3499999999999943,3.0,1.0,B,37,0.02631578947368421,38.72983346207417,0.5819882848043362,1.0506420088836175,red
"7/16 - 7/22, 2025@@23944",Rasmussen Reports,"1,500 LV@@1500",0.0,50.0,49.0,1.0,1500.0,LV,2025-07-22,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,48.325,2.3499999999999943,3.0,1.0,B,38,0.02564102564102564,38.72983346207417,0.5819882848043362,1.050563467954494,green
"7/21 - 7/22, 2025@@23944",Emerson College,"1,400 RV@@1400",0.0,45.7,46.8,-1.099998,1400.0,RV,2025-07-22,A-@@3,-0.56915331,D+0.65@@0.64701432,317.0,D+,0.65,45.375,47.125,-1.75,2.0,1.0,A-,38,0.02564102564102564,37.416573867739416,0.5740539306100082,0.7492139761038312,red
"7/21 - 7/22, 2025@@23944",JL Partners,"1,007 RV@@1007",0.0,45.0,46.0,-1.0,1007.0,RV,2025-07-22,B/C@@8,0.19791092,D+0.39@@0.39106345,10.0,D+,0.39,44.805,46.195,-1.3900000000000006,2.0,1.0,B/C,38,0.02564102564102564,31.73326330524486,0.5397169273292213,0.7043997846424965,red
"7/18 - 7/22, 2025@@23944",The Bullfinch Group,"1,200 A@@1200",0.0,41.0,55.0,-14.0,1200.0,A,2025-07-22,,,,,,0.0,41.0,55.0,-14.0,1.0,1.0,,38,0.02564102564102564,34.64101615137755,0.5572847723236978,0.4486856884862592,red
"7/14 - 7/21, 2025@@23943",GBAO,"2,000 RV@@2000",0.0,45.0,54.0,-9.0,2000.0,RV,2025-07-21,B/C@@8,0.38478789,D+1.36@@1.3601162,14.0,D+,1.36,44.32,54.68,-10.36,2.0,1.0,B/C,39,0.025,44.721359549995796,0.6181874417350783,0.8067346114642772,red
"7/15 - 7/21, 2025@@23943",Rasmussen Reports,"1,500 LV@@1500",0.0,50.0,49.0,1.0,1500.0,LV,2025-07-21,B@@6,0.087015256,R+1.35@@-1.3521063,797.0,R+,-1.35,50.675,48.325,2.3499999999999943,3.0,1.0,B,39,0.025,38.72983346207417,0.5819882848043362,1.0504888540718267,green
"7/18 - 7/21, 2025@@23943",High Point University,"1,000 A@@1000",0.0,39.0,51.0,-12.0,1000.0,A,2025-07-21,B/C@@8,0.41167998,±0.00@@0.0026956678,5.0,±,0.0,39.0,51.0,-12.0,1.0,1.0,B/C,39,0.025,31.622776601683793,0.5390493969768073,0.4339347645663299,red
"7/16 - 7/21, 2025@@23943",Global Strategy Group/GBAO Navigator Research,"1,000 RV@@1000",0.0,43.0,54.0,-11.0,1000.0,RV,2025-07-21,B/C@@8,0.80498767,D+0.82@@0.82390642,4.0,D+,0.82,42.59,54.41,-11.819999999999993,2.0,1.0,B/C,39,0.025,31.622776601683793,0.5390493969768073,0.7034594630547335,red
"7/18 - 7/21, 2025@@23943",YouGov,"1,729 A@@1729",0.0,41.0,55.0,-14.0,1729.0,A,2025-07-21,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,40.455,55.545,-15.090000000000003,1.0,1.0,B,39,0.025,41.58124577258358,0.5992157357388251,0.48236866726975425,red
"7/18 - 7/21, 2025@@23943",YouGov,"1,470 A@@1470",0.0,39.0,56.0,-17.0,1470.0,A,2025-07-21,B@@6,0.047635015,D+1.09@@1.0927403,519.0,D+,1.09,38.455,56.545,-18.090000000000003,1.0,1.0,B,39,0.025,38.34057902536163,0.5796365162843008,0.46660739560886216,red
"7/7 - 7/21, 2025@@23943",Gallup,"1,002 A@@1002",0.0,37.0,58.0,-21.0,1002.0,A,2025-07-21,B+@@5,-0.096810378,R+0.57@@-0.56518364,84.0,R+,-0.57,37.285,57.715,-20.430000000000007,1.0,1.0,B+,39,0.025,31.654383582688826,0.5392403576851008,0.4340884879365062,red
