Pollster,Simple average error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus-Minus
Opinion Dynamics,3.865,-1.109057035,-0.28311351,-0.094195172
Elway Research,3.863095238,-1.830663271,-1.7692529,-0.55224371
Angus Reid Global,3.2,-1.549718576,-1.2087342,-0.55208528
Muhlenberg College,3.705,-1.572261234,-1.0202166,-0.54693794
Gallup,4.382738095,-0.657502686,0.15634568,0.087188013
Pharos Research Group,3.737272727,-1.137212916,-0.73603708,-0.31959143
Garin-Hart-Yang Research Group,5.393333333,-0.135284266,-0.26785189,-0.13124454
Princeton Survey Research Associates International,5.002285714,-0.136943844,0.27037582,0.098732077
KRC Research,6.835,0.053669189,-0.10839968,-0.020301115
InsiderAdvantage,6.107584541,-0.113129034,-0.05555914,-0.049203966
Lake Research Partners/The Tarrance Group,3.391515152,-1.158398552,-0.079216532,-0.028316498
YouGov,5.067071291,0.005311959,-0.088674046,-0.083749257
University of Cincinnati (Ohio Poll),4.198461538,-1.428662042,-0.78544903,-0.31151816
GfK Group,3.901904762,-0.884659171,0.13614976,0.041049767
Rasmussen Reports,5.060263488,-0.321743077,-0.009635429,-0.009177435
Greenberg Quinlan Rosner,4.52,-0.690849742,0.28013361,0.16551882
WPA Intelligence,6.783,0.940349804,-0.21596345,-0.087871782
EPIC-MRA,5.829827586,0.218331911,-0.41343844,-0.25793535
Pew Research Center,4.4144,0.014900428,0.5900867,0.17877764
St. Pete Polls,5.372333333,0.258011713,0.14993884,0.079974599
Civiqs,5.217674419,0.149221094,0.17617287,0.11591811
Gravis Marketing/Kaplan Strategies,5.143630573,0.092449425,0.11730416,0.098458208
Harris Insights & Analytics,5.022176166,0.950861716,0.15449409,0.1321121
RT Strategies,5.900444444,0.459230209,0.045415185,0.018335095
Data for Progress,5.797631579,0.539214265,0.073915541,0.061796892
RMG Research,5.914642857,1.354507499,0.13477364,0.074005
Franklin & Marshall College,5.952,0.009804389,0.77240688,0.33339989
Mellman Group,4.834642857,-0.195565659,-0.086497657,-0.035072207
Ciruli Associates,3.6245,-1.569016605,-0.92271602,-0.22348535
Patriot Polling,2.753181818,-1.517025037,-0.38963535,-0.21047127
Dan Jones & Associates,6.07625,0.237925589,0.43748009,0.2022464
Remington Research Group,5.213454545,0.963112426,0.41714671,0.28218308
Redfield & Wilton Strategies,3.554444444,-0.58605501,0.047687344,0.033664808
Market Shares Corp.,5.8308,0.446689333,-0.43919006,-0.11825615
Columbus Dispatch,5.398181818,0.25714442,0.096951433,0.028995981
Lucid,4.1496,-0.189623498,0.52395707,0.23005763
Research 2000,5.465143885,-0.031064936,0.2020002,0.16425848
Big Village,5.644392523,-0.386242312,0.52776366,0.38586026
Impact Research,6.072727273,0.305715792,0.4525921,0.17938893
We Ask America,6.734107143,0.749245023,0.64569885,0.37336013
University of New Hampshire,5.952466667,0.548945788,0.40130547,0.33807313
Ipsos,4.643706897,-0.122053015,0.15772918,0.12703039
Google Consumer Surveys,5.3375,1.449585584,1.6474814,0.65839851
Change Research,6.298347826,1.286294148,0.53954405,0.44298413
Zogby Analytics,5.53111336,0.251656145,0.61692196,0.54263437
Morning Consult,4.419385965,0.260370133,0.67004275,0.56555027
Research Co.,4.167710843,-0.664740879,-0.52350116,-0.41726193
Global Strategy Group,6.288846154,0.651299809,1.2045494,0.44748336
Targoz Market Research,5.864230769,1.110040132,1.6989517,0.90890801
Florida Atlantic University/Mainstreet Research,8.6116,0.269300042,0.4725112,0.27471581
ccAdvertising,7.363333333,2.149839961,1.5465076,0.62521273
American Research Group,7.7305,0.677412135,1.0186915,0.87628907
Market Research Insight,8.099259259,3.143309093,1.8141737,0.70270091
SSRS,5.18212766,0.383356925,1.1473128,0.78390306
SoonerPoll.com,9.001538462,3.331708468,2.4264011,1.1024575
Roanoke College,7.680909091,1.970196643,2.2761261,1.009285
SurveyMonkey,6.643507463,2.494412235,1.1490084,1.0352281
Swayable,7.248876404,1.863045821,1.3650444,1.0745292
Digital Research,8.174761905,2.458175475,2.4404216,0.72124922
Mitchell Research & Communications,6.720121951,1.066491565,1.2633208,0.9328475
Merriman River Group,9.2144,3.959632434,2.4911339,0.89014846
McLaughlin & Associates,7.355172414,2.064604963,2.8642981,1.2754612
TCJ Research,6.439924242,1.929255992,2.192066,1.621121
