Dates,Pollster,Sample,Influence,Approve,Disapprove,Net
"8/8 - 8/10, 2025@@23963",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,200 RV@@2200",0.0088286,46,47,-1
"8/1 - 8/4, 2025@@23957",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_lSgdLYM.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,702 A@@1702",0,40,53,-13
"8/1 - 8/3, 2025@@23956",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0,43,49,-6
"7/29 - 8/3, 2025@@23956",<a href='https://pos.org/wp-content/uploads/2025/08/250178-CNBC-AAES-Q2-2025-Topline-8-7-2025-Release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,"1,000 A@@1000",0,45,53,-8
"7/24 - 7/31, 2025@@23953",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/68936b40c111f97bb04773dd/1754491714447/Clarity+Omnibus+Overview+-+July+2025+%5BPUBLIC%5D.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,018 RV@@1018",0,42,54,-12
"7/28 - 7/29, 2025@@23951",<a href='https://johnzogbystrategies.com/new-zogby-strategies-poll-reveals-intense-collapse-among-trump-supporters/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>John Zogby Strategies</a>,"1,010 LV@@1010",0,42.3,54.7,-12.4
"7/24 - 7/28, 2025@@23950",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/20250728_yahoo.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,729 A@@1729",0,37,56,-19
"7/25 - 7/28, 2025@@23950",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_7Bn59Tx.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,777 A@@1777",0,40,51,-11
"7/25 - 7/27, 2025@@23949",<a href='www.ipsos.com/en-us/ipsos-core-political-survey-presidential-approval-tracker-july-2025'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,023 A@@1023",0,38,55,-17
"7/25 - 7/27, 2025@@23949",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,203 RV@@2203",0,46,46,0
"7/21 - 7/22, 2025@@23944",<a href='https://docs.google.com/spreadsheets/d/1iZsOtBWxln95TjYfOOGE6cfqX6WC86M8/edit?gid=1487510779#gid=1487510779'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>^Sponsor: Nexstar^,"1,400 RV@@1400",0,41.3,50.6,-9.299999
"7/18 - 7/21, 2025@@23943",<a href='https://static.foxnews.com/foxnews.com/content/uploads/2025/07/fox_july-18-21-2025_national_topline_july-23-release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Beacon Research/Shaw & Co. Research</a>^Sponsor: FOX News^,"1,000 RV@@1000",0,44,55,-11
"7/16 - 7/21, 2025@@23943",<a href='https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F07.21.25.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Global Strategy Group/GBAO (Navigator Research)</a>,"1,000 RV@@1000",0,43,53,-10
"7/7 - 7/21, 2025@@23943",<a href='https://news.gallup.com/poll/692879/independents-drive-trump-approval-second-term-low.aspx'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Gallup</a>,"1,002 A@@1002",0,37,61,-24
"7/18 - 7/21, 2025@@23943",<a href='https://www.highpoint.edu/src/files/2023/08/hpupoll112A.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>High Point University</a>,"1,000 A@@1000",0,33,54,-21
"7/18 - 7/21, 2025@@23943",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_QYo5riR.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,729 A@@1729",0,40,52,-12
"7/18 - 7/20, 2025@@23942",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,202 RV@@2202",0,45,48,-3
"7/16 - 7/20, 2025@@23942",<a href='https://prod-i.a.dj.com/public/resources/documents/Redacted1WSJPollJuly2025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Fabrizio Lee & Associates/Impact Research</a>^Sponsor: Wall Street Journal^,"1,500 RV@@1500",0,44,53,-9
"7/17 - 7/20, 2025@@23942",<a href='https://americanresearchgroup.com/economy/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>American Research Group</a>,"1,100 A@@1100",0,35,62,-27
"7/16 - 7/18, 2025@@23940",<a href='https://www.scribd.com/document/890583482/Cbsnews-20250720-1-SUNDAY#download&from_embed'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: CBS News^,"2,343 A@@2343",0,40,60,-20
"7/13 - 7/18, 2025@@23940",<a href='https://cdn.atlasintel.org/20e36f18-42bd-4a28-85f4-9f623905ba71.pdf?_gl=1*voq1b4*_ga*MTIxNzc2MTg3My4xNzUyODcwNjM4*_ga_W78QD5CNP1*czE3NTI4NzA2MzkkbzEkZzEkdDE3NTI4NzE3OTIkajYwJGwwJGgw'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AtlasIntel</a>,"1,935 A@@1935",0,40,55,-15
"7/14 - 7/16, 2025@@23938",<a href='https://www.gelliottmorris.com/p/new-poll-dems-lead-house-generic'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,500 A@@1500",0,42,52,-10
"7/7 - 7/16, 2025@@23938",<a href='https://law.marquette.edu/poll/2025/07/23/detailed-results-of-the-marquette-law-school-supreme-court-poll-july-7-16-2025-national-issues/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Marquette University Law School</a>,"1,005 A@@1005",0,43,57,-14
"7/15 - 7/16, 2025@@23938",<a href='https://www.reuters.com/world/us/trumps-approval-immigration-falls-lowest-level-his-term-reutersipsos-poll-finds-2025-07-16/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,027 A@@1027",0,35,55,-20
"7/16 - 7/16, 2025@@23938",<a href='https://napolitannews.org/posts/over-half-of-voters-approve-of-trumps-handling-of-immigration-and-crime'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,44,54,-10
"7/13 - 7/15, 2025@@23937",<a href='https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/gop_voters_love_trump_s_economy_others_not_so_much'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Rasmussen Reports</a>,"1,196 LV@@1196",0,46,52,-6
"7/10 - 7/14, 2025@@23936",<a href='https://apnorc.org/wp-content/uploads/2025/07/July-W1-Topline-Trump.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AP-NORC</a>,"1,473 A@@1473",0,38,60,-22
"7/10 - 7/14, 2025@@23936",<a href='https://echelonin.wpenginepowered.com/wp-content/uploads/July-2025-Voter-Omnibus-Topline-External.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,084 LV@@1084",0,44,53,-9
"7/10 - 7/14, 2025@@23936",<a href='https://poll.qu.edu/poll-release?releaseid=3928'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Quinnipiac University</a>,"1,290 RV@@1290",0,42,55,-13
"7/11 - 7/14, 2025@@23936",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_fFL8Pon.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,680 A@@1680",0,40,53,-13
"7/10 - 7/13, 2025@@23935",<a href='https://s3.documentcloud.org/documents/25999223/cnn-poll-conducted-by-ssrs-trump-approval-policy-and-budget-bill.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>SSRS</a>^Sponsor: CNN^,"1,057 A@@1057",0,40,60,-20
"7/11 - 7/13, 2025@@23935",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,201 RV@@2201",0,46,46,0
"7/9 - 7/13, 2025@@23935",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/Trump_Issue_Handling_poll_results.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>,"2,104 A@@2104",0,39,53,-14
"7/6 - 7/8, 2025@@23930",<a href='https://harvardharrispoll.com/wp-content/uploads/2025/07/HHP_July2025_Topline.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,044 RV@@2044",0,44,51,-7
"7/4 - 7/7, 2025@@23929",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_haeOEK5.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,528 A@@1528",0,40,51,-11
"7/3 - 7/6, 2025@@23928",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,203 RV@@2203",0,45,48,-3
"6/26 - 6/30, 2025@@23922",<a href='https://navigatorresearch.org/wp-content/uploads/2025/07/Navigator-Topline-F06.30.25.pdf?emci=ce8cac3e-8956-f011-8f7c-6045bdfe8e9c&emdi=88836e6f-9456-f011-8f7c-6045bdfe8e9c&ceid=1590570'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Global Strategy Group/GBAO (Navigator Research)</a>,"1,000 RV@@1000",0,43,53,-10
"6/27 - 6/30, 2025@@23922",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B1ETIg8.pdf#page38'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,648 A@@1648",0,43,51,-8
"6/27 - 6/29, 2025@@23921",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,202 RV@@2202",0,47,47,0
"6/23 - 6/25, 2025@@23917",<a href='https://maristpoll.marist.edu/wp-content/uploads/2025/06/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202506271427.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Marist College</a>^Sponsor: NPR | PBS News^,"1,381 A@@1381",0,39,53,-14
"6/24 - 6/25, 2025@@23917",<a href='https://johnzogbystrategies.com/wp-content/uploads/2025/06/S-Approval-US-Likely-062425.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>John Zogby Strategies</a>,"1,006 LV@@1006",0,42.8,53.6,-10.8
"6/22 - 6/24, 2025@@23916",<a href='https://poll.qu.edu/poll-release?releaseid=3926'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Quinnipiac University</a>,979 RV@@979,0,39,56,-17
"6/21 - 6/23, 2025@@23915",<a href='https://www.ipsos.com/sites/default/files/ct/news/documents/2025-06/Reuters%20Ipsos%20U.S.%20Iran%20Survey%20Topline%2006%2023%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,139 A@@1139",0,35,57,-22
"6/20 - 6/23, 2025@@23915",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_uvch8qB.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,590 A@@1590",0,39,51,-12
"6/20 - 6/22, 2025@@23914",<a href='https://www.ipsos.com/sites/default/files/Reuters%20Ipsos%20Core%20Political%20Presidential%20Approval%20Tracker%2006%2025%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,144 A@@1144",0,37,55,-18
"6/20 - 6/22, 2025@@23914",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,205 RV@@2205",0,44,48,-4
"6/17 - 6/20, 2025@@23912",<a href='https://americanresearchgroup.com/economy/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>American Research Group</a>,"1,100 A@@1100",0,35,61,-26
"6/18 - 6/19, 2025@@23911",<a href='https://napolitannews.org/posts/significant-shift-in-support-for-trump-on-immigration'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,46,54,-8
"6/17 - 6/18, 2025@@23910",<a href='https://echelonin.wpenginepowered.com/wp-content/uploads/June-2025-Middle-East-Update.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,002 LV@@1002",0,48,50,-2
"6/12 - 6/17, 2025@@23909",<a href='https://echelonin.wpenginepowered.com/wp-content/uploads/June-2025-Voter-Omnibus-Topline-EXTERNAL.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,982 LV@@982,0,43,53,-10
"6/11 - 6/16, 2025@@23908",<a href='https://www.reuters.com/world/us/trump-approval-steady-42-support-weakens-his-immigration-policy-reutersipsos-2025-06-16/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"4,258 A@@4258",0,39,52,-13
"6/13 - 6/16, 2025@@23908",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CyorzxR.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,512 A@@1512",0,41,53,-12
"6/13 - 6/16, 2025@@23908",<a href='https://static.foxnews.com/foxnews.com/content/uploads/2025/06/fox_june-13-16-2025_national_topline_june-18-release.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Beacon Research/Shaw & Co. Research</a>^Sponsor: FOX News^,"1,003 RV@@1003",0,40,58,-18
"6/13 - 6/15, 2025@@23907",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,207 RV@@2207",0,47,48,-1
"6/5 - 6/14, 2025@@23906",<a href='https://static1.squarespace.com/static/61ae8d5e55be5c7314b4c83a/t/6852fc5a3ac4c05449fc450e/1750269023826/Clarity+Omnibus+Overview+-+June+2025+%5BPUBLIC%5D.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,000 RV@@1000",0,46,49,-3
"6/12 - 6/14, 2025@@23906",<a href='https://www.winningtheissues.org/wp-content/uploads/2025/07/Winning-the-Issues-June-2025-National-Survey.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Winston Group</a>^Sponsor: Winning the Issues^,"1,000 RV@@1000",0,41,54,-13
"6/6 - 6/12, 2025@@23904",<a href='https://www.gelliottmorris.com/p/trump-approval-at-42-democrats-up'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,500 A@@1500",0,41,53,-12
"6/11 - 6/12, 2025@@23904",<a href='https://harvardharrispoll.com/wp-content/uploads/2025/06/HHP_June2025_Topline.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,097 RV@@2097",0,44,50,-6
"6/5 - 6/9, 2025@@23901",<a href='https://navigatorresearch.org/wp-content/uploads/2025/06/Navigator-June-1-Topline-F06.09.26.pdf?emci=a9b05989-dd46-f011-8f7c-6045bdfe8e9c&emdi=4d359ee8-7147-f011-8f7c-6045bdfe8e9c&ceid=1590570'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Global Strategy Group/GBAO (Navigator Research)</a>,"1,000 RV@@1000",0,41,57,-16
"6/5 - 6/9, 2025@@23901",<a href='https://apnorc.org/wp-content/uploads/2025/06/June-Topline-Parade.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AP-NORC</a>,"1,158 A@@1158",0,38,60,-22
"6/5 - 6/9, 2025@@23901",<a href='https://poll.qu.edu/poll-release?releaseid=3924'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Quinnipiac University</a>,"1,265 RV@@1265",0,40,56,-16
"6/6 - 6/9, 2025@@23901",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B2kkifF.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,533 A@@1533",0,41,51,-10
"6/6 - 6/8, 2025@@23900",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"1,867 RV@@1867",0,45,48,-3
"6/4 - 6/6, 2025@@23898",<a href='https://www.cbsnews.com/news/deportation-immigration-opinion-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: CBS News^,"2,428 A@@2428",0,42,58,-16
"5/30 - 6/2, 2025@@23894",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,205 RV@@2205",0,47,47,0
"5/30 - 6/2, 2025@@23894",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_MV984ah.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,610 A@@1610",0,42,50,-8
"5/28 - 5/29, 2025@@23890",<a href='https://johnzogbystrategies.com/wp-content/uploads/2025/06/Job-Approval-052825.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>John Zogby Strategies</a>,"1,000 LV@@1000",0,45.6,49.6,-4
"5/28 - 5/29, 2025@@23890",<a href='https://napolitannews.org/posts/voters-rate-trumps-performance-on-key-issues'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,44,55,-11
"5/26 - 5/28, 2025@@23889",<a href='https://my.wick.io/analysis/shared/item/8C788E73-03D9-45A4-94AF-2E0D70F34AF6/view'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Wick</a>^Sponsor: 2Way^,"1,000 RV@@1000",0,47,49.7,-2.700001
"5/21 - 5/27, 2025@@23888",<a href='https://atlasintel.org/poll/usa-national-2025-05-30'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>AtlasIntel</a>,"3,469 A@@3469",0,42,54,-12
"5/23 - 5/26, 2025@@23887",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WokQXF7.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,660 A@@1660",0,42,51,-9
"5/23 - 5/25, 2025@@23886",<a href='https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Morning Consult</a>,"2,208 RV@@2208",0,46,47,-1
