Dates,Pollster,Sample,Influence,Approve,Disapprove,Net
"6/11 - 6/11, 2025@@23903",<a href='https://www.reuters.com/world/us/trump-approval-steady-42-support-weakens-his-immigration-policy-reutersipsos-2025-06-16/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"4,258 A@@4258",0,34,56,-22
"5/30 - 6/10, 2025@@23902",<a href='https://s3.documentcloud.org/documents/25976104/nbc-news-decision-desk-poll-june-15-2025-topline.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>SurveyMonkey</a>^Sponsor: NBC News^,"19,410 A@@19410",0,39,61,-22
"6/6 - 6/9, 2025@@23901",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_B2kkifF.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,533 A@@1533",0,37,55,-18
"6/4 - 6/6, 2025@@23898",<a href='https://www.cbsnews.com/news/deportation-immigration-opinion-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: CBS News^,"2,428 A@@2428",0,39,61,-22
"5/30 - 6/2, 2025@@23894",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_MV984ah.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,610 A@@1610",0,39,54,-15
"5/28 - 5/29, 2025@@23890",<a href='https://napolitannews.org/posts/voters-rate-trumps-performance-on-key-issues'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,44,54,-10
"5/23 - 5/26, 2025@@23887",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_WokQXF7.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,660 A@@1660",0,38,56,-18
"5/16 - 5/19, 2025@@23880",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wObz24u.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,710 A@@1710",0,39,53,-14
"5/16 - 5/18, 2025@@23879",<a href='https://www.reuters.com/world/us/trumps-approval-rating-ticks-lower-economic-concerns-weigh-reutersipsos-poll-2025-05-20/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,024 A@@1024",0,33,58,-25
"5/14 - 5/15, 2025@@23876",<a href='https://harvardharrispoll.com/key-results-may-5/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"1,903 RV@@1903",0,43,50,-7
"5/5 - 5/15, 2025@@23876",<a href='https://law.marquette.edu/poll/wp-content/uploads/2025/05/MLSPSC26Toplines_NationalIssues.html#GE2020:_2024_vote'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Marquette University Law School</a>,"1,004 A@@1004",0,34,66,-32
"5/12 - 5/13, 2025@@23874",<a href='https://www.ipsos.com/sites/default/files/ct/news/documents/2025-05/Reuters%20Ipsos%20Issues%20Survey%20May%202025_2.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,163 A@@1163",0,31,59,-28
"5/9 - 5/12, 2025@@23873",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_tDmEBHo.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,786 A@@1786",0,35,57,-22
"5/1 - 5/6, 2025@@23867",<a href='https://www.gelliottmorris.com/p/new-poll-americans-oppose-trumps'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Verasight</a>^Sponsor: Strength in Numbers^,"1,000 A@@1000",0,31,63,-32
"5/2 - 5/5, 2025@@23866",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wZDAeTq.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,850 A@@1850",0,35,56,-21
"4/28 - 5/3, 2025@@23864",<a href='https://www.highpoint.edu/src/files/2023/08/111memoISS.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>High Point University</a>,"1,000 A@@1000",0,28,59,-31
"4/25 - 5/2, 2025@@23863",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/Issue_Importance___Trump_Approval_poll_results.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>,"2,220 A@@2220",0,33,58,-25
"4/25 - 4/28, 2025@@23859",<a href='https://www.scribd.com/document/855435184/20250428-combined-trump100'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,597 A@@1597",0,31,59,-28
"4/25 - 4/28, 2025@@23859",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_fmq348X.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,785 A@@1785",0,36,57,-21
"4/24 - 4/28, 2025@@23859",<a href='https://navigatorresearch.org/wp-content/uploads/2025/04/Navigator-Update-Topline-F04.28.25.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Global Strategy Group/GBAO (Navigator Research)</a>,"1,000 RV@@1000",0,32,61,-29
"4/25 - 4/27, 2025@@23858",<a href='https://www.reuters.com/world/us/trumps-approval-steady-concerns-over-economy-immigration-rise-reutersipsos-poll-2025-04-29/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,029 A@@1029",0,32,59,-27
"4/23 - 4/25, 2025@@23856",<a href='https://www.cbsnews.com/news/cbs-news-poll-trump-100-days-tariffs/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: CBS News^,"2,365 A@@2365",0,38,62,-24
"4/17 - 4/24, 2025@@23855",<a href='https://edition.cnn.com/.element/interactive/2025/04/REL5a-Trump-at-100days.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>SSRS</a>^Sponsor: CNN^,"1,678 A@@1678",0,35,64,-29
"4/19 - 4/22, 2025@@23853",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_iR37dyy.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,625 A@@1625",0,37,57,-20
"4/18 - 4/21, 2025@@23852",<a href='https://static.foxnews.com/foxnews.com/content/uploads/2025/04/fox_april-18-21-2025_national_topline_april-23-release.pdf?_gl=1*qk6xuf*_ga*YW1wLWN4NDF2YTdsN1hSRkN4T0t6bFo2d2c.*_ga_RH94J2NTVM*MTc0NTQ1MDEwOC4xLjEuMTc0NTQ1MDEwOS4wLjAuMA..'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Beacon Research/Shaw & Co. Research</a>^Sponsor: FOX News^,"1,104 RV@@1104",0,33,59,-26
"4/16 - 4/21, 2025@@23852",<a href='https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Reuters%20Ipsos%20Large%20Sample%20Poll%20April%202025%20Topline.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"4,306 A@@4306",0,31,57,-26
"4/11 - 4/20, 2025@@23851",<a href='https://www.nbcnews.com/politics/trump-administration/poll-americans-vent-disappointment-trump-ahead-100-day-mark-especially-rcna202656'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>SurveyMonkey</a>^Sponsor: NBC News^,"19,682 A@@19682",0,40,60,-20
"4/18 - 4/20, 2025@@23851",<a href='https://www.dataforprogress.org/memos/2025/4/24/approaching-100-days-in-office-voters-increasingly-disapprove-of-trumps-handling-of-the-economy'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Data for Progress</a>,"1,204 LV@@1204",0,39,52,-13
"4/16 - 4/16, 2025@@23847",<a href='https://x.com/ScottWRasmussen/status/1914424150820839725'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,43,55,-12
"4/13 - 4/15, 2025@@23846",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_wmD8f2B.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,512 A@@1512",0,37,55,-18
"4/9 - 4/14, 2025@@23845",<a href='https://45840940.fs1.hubspotusercontent-na1.net/hubfs/45840940/Clarity%20Omnibus%20Overview_April%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Clarity Campaign Labs</a>,"1,008 RV@@1008",0,36,58,-22
"4/9 - 4/13, 2025@@23844",<a href='https://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2025/04/21/fullsurveyliesmanhere.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: CNBC^,"1,000 A@@1000",0,37,60,-23
"4/8 - 4/11, 2025@@23842",<a href='https://www.cbsnews.com/news/poll-trump-tariffs-13-04-2025/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: CBS News^,"2,410 A@@2410",0,40,60,-20
"4/9 - 4/10, 2025@@23841",<a href='https://harvardharrispoll.com/wp-content/uploads/2025/04/HHP_April25_KeyResults.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,286 RV@@2286",0,41,51,-10
"4/4 - 4/9, 2025@@23840",<a href='https://www.umass.edu/political-science/about/reports/2025-4'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>University of Massachusetts (Amherst)</a>^Sponsor: WCVB-TV^,"1,000 A@@1000",0,33,62,-29
"4/5 - 4/8, 2025@@23839",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_pXJ0PxA.pdf#page31'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,741 A@@1741",0,36,55,-19
"3/31 - 4/2, 2025@@23833",<a href='https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Reuters%20Ipsos%20Signalgate%20Tariffs%20Survey%20Topline%20April%202%202025%20.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,468 A@@1468",0,30,57,-27
"3/30 - 4/1, 2025@@23832",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_Uo7FRzc.pdf#page35'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,626 A@@1626",0,40,53,-13
"3/27 - 4/1, 2025@@23832",<a href='https://prod-i.a.dj.com/public/resources/documents/March_2025_WSJPoll.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Fabrizio Lee & Associates/Impact Research</a>^Sponsor: Wall Street Journal^,"1,500 RV@@1500",0,40,55,-15
"3/27 - 3/28, 2025@@23828",<a href='https://www.scribd.com/document/844532642/cbsnews-20250330-SUN-1'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: CBS News^,"2,609 A@@2609",0,44,56,-12
"3/26 - 3/27, 2025@@23827",<a href='https://harvardharrispoll.com/key-results-march-5/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Harris Insights & Analytics</a>^Sponsor: Harvard CAPS^,"2,746 RV@@2746",0,43,50,-7
"3/26 - 3/27, 2025@@23827",<a href='https://www.dataforprogress.org/memos/2025/4/24/approaching-100-days-in-office-voters-increasingly-disapprove-of-trumps-handling-of-the-economy'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Data for Progress</a>,"1,232 LV@@1232",0,41,53,-12
"3/22 - 3/25, 2025@@23825",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_o8LZals.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,600 A@@1600",0,42,50,-8
"3/20 - 3/24, 2025@@23824",<a href='https://www.yahoo.com/news/more-americans-say-trumps-second-term-has-been-worse-than-expected-according-to-a-new-poll-120010590.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Yahoo News^,"1,677 A@@1677",0,34,54,-20
"3/21 - 3/23, 2025@@23823",<a href='https://www.ipsos.com/sites/default/files/ct/news/documents/2025-03/Reuters%20Ipsos%20Tariffs%20Survey%20Topline%2003%2013%202025.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Ipsos</a>^Sponsor: Reuters^,"1,030 A@@1030",0,32,57,-25
"3/18 - 3/19, 2025@@23819",<a href='https://x.com/ScottWRasmussen/status/1903133174705623146'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>RMG Research</a>^Sponsor: Napolitan News Service^,"1,000 RV@@1000",0,45,52,-7
"3/16 - 3/18, 2025@@23818",<a href='https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ngfganU.pdf#page40'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>YouGov</a>^Sponsor: Economist^,"1,618 A@@1618",0,42,52,-10
